id,einwohner,bip,lage,meer,zusage,start,schiffe,rettungen,gerettet
Norwegen,"5,4",75.000,1,2,27032000,1000000,1000000,1000000,1000000
Italien,"59,6",33.000,1,1,700,1000000,1000000,1000000,1000000
Spanien,"47,4",30.000,1,1,1000,1000000,1000000,1000000,1000000
Deutschland,"83,2",46.000,2,2,5500,1000000,1000000,1000000,1000000
Niederlande,"17,4",53.000,1,2,1902,1000000,1000000,1000000,1000000
Vereinigtes Königreich,"10,7",42.000,1,2,6000,1000000,1000000,1000000,1000000
Louise Michel,1000001,1000001,1000001,1000001,1000001,2020,1,4,300
Sea-Watch,1000001,1000001,1000001,1000001,1000001,2015,2,12,878
Proactiva Open Arms,1000001,1000001,1000001,1000001,1000001,2015,2,12,933
Sea-Eye,1000001,1000001,1000001,1000001,1000001,2015,4,3,361
Mediterranea Saving Humans,1000001,1000001,1000001,1000001,1000001,2018,2,2,140
Jugend rettet,1000001,1000001,1000001,1000001,1000001,2015,1,0,0
Mission Lifeline,1000001,1000001,1000001,1000001,1000001,2016,4,0,0
SOS Méditerranée,1000001,1000001,1000001,1000001,1000001,2015,2,13,903
Salvamento Marítimo Humanitario (SMH),1000001,1000001,1000001,1000001,1000001,2015,1,4,202
