id,name,einwohner,bip,lage,meer,zusage,start,schiffe,rettungen,gerettet
No,Norwegen,"5,4",75.000,1,2,27032000,1000000,1000000,1000000,1000000
I,Italien,"59,6",33.000,1,1,700,1000000,1000000,1000000,1000000
S,Spanien,"47,4",30.000,1,1,1000,1000000,1000000,1000000,1000000
D,Deutschland,"83,2",46.000,2,2,5500,1000000,1000000,1000000,1000000
Ni,Niederlande,"17,4",53.000,1,2,1902,1000000,1000000,1000000,1000000
VK,Vereinigtes Königreich,"10,7",42.000,1,2,6000,1000000,1000000,1000000,1000000
LM,Louise Michel,1000001,1000001,1000001,1000001,1000001,2020,1,4,300
SW,Sea-Watch,1000001,1000001,1000001,1000001,1000001,2015,2,12,878
POA,Proactiva Open Arms,1000001,1000001,1000001,1000001,1000001,2015,2,12,933
SE,Sea-Eye,1000001,1000001,1000001,1000001,1000001,2015,4,3,361
MSH,Mediterranea Saving Humans,1000001,1000001,1000001,1000001,1000001,2018,2,2,140
JR,Jugend rettet,1000001,1000001,1000001,1000001,1000001,2015,1,0,0
ML,Mission Lifeline,1000001,1000001,1000001,1000001,1000001,2016,4,0,0
SM,SOS Méditerranée,1000001,1000001,1000001,1000001,1000001,2015,2,13,903
SMH,Salvamento Marítimo Humanitario (SMH),1000001,1000001,1000001,1000001,1000001,2015,1,4,202
